iter	MultiClass
123	0.5133091445
124	0.5125174403
125	0.51205251
126	0.5117122801
127	0.5111611095
128	0.5104558624
129	0.5098398487
130	0.5093592208
131	0.5084772419
132	0.5080821141
133	0.5070880717
134	0.5066685119
135	0.5060965811
136	0.5056009194
137	0.5045902023
138	0.5037221485
139	0.5028754609
140	0.5021035969
141	0.5015203727
142	0.5008552696
143	0.5003843694
144	0.4997313829
145	0.4991518019
146	0.4989086121
147	0.4986429905
148	0.4980649996
149	0.4974628543
150	0.4966366295
151	0.496074233
152	0.4955696645
153	0.4953247014
154	0.4949820201
155	0.4941666084
156	0.4930561549
157	0.4924326969
158	0.4915584771
159	0.491100686
160	0.4903008739
161	0.48977591
162	0.4893915642
163	0.4890411039
164	0.4886794444
165	0.4881056689
166	0.4875498115
167	0.4871762746
168	0.4867188691
169	0.4863681866
170	0.4855592043
171	0.4850315823
172	0.4846665281
173	0.4842436999
174	0.483691945
175	0.483370758
176	0.482698269
177	0.4823500908
178	0.4819106811
179	0.4814239284
180	0.4809191557
181	0.4803911713
182	0.4801264157
183	0.479659886
184	0.4791896701
185	0.47865468
186	0.4780772957
187	0.4776095169
188	0.4772935096
189	0.4769238844
190	0.4763755714
191	0.475813273
192	0.4754390725
193	0.4751215318
194	0.4741927646
195	0.4736788335
196	0.4733581835
197	0.4728181944
198	0.472515421
199	0.4722472701
200	0.4719106585
201	0.4711696742
202	0.4707030255
203	0.4704051849
204	0.4700925947
205	0.4695351847
206	0.4692552898
207	0.4689862032
208	0.4684152297
209	0.4679919963
210	0.4676160227
211	0.4672390854
212	0.4666019767
213	0.4660743324
214	0.4652737675
215	0.4644683215
216	0.4638222445
217	0.4634345211
218	0.4631648987
219	0.4626088687
220	0.4622276265
221	0.4617636675
222	0.4615179115
223	0.4609909986
224	0.4607675457
225	0.4603178825
226	0.4599207026
227	0.4594483324
228	0.4590573727
229	0.4587658485
230	0.458324302
231	0.457818078
232	0.4576939593
233	0.457194261
234	0.4568514229
235	0.456643357
236	0.4561874124
237	0.4559558581
238	0.4556844675
239	0.455398256
240	0.4550958571
241	0.4547220951
242	0.4544157743
243	0.4542608126
244	0.4539711563
245	0.453644317
246	0.4533930004
247	0.4529821554
248	0.4525928546
249	0.4519635392
250	0.4515785829
251	0.4510642115
252	0.4504822267
253	0.4500641704
254	0.449707122
255	0.4492951694
256	0.4490558745
257	0.4487766402
258	0.4482629576
259	0.4480490713
260	0.4477595984
261	0.4472847607
262	0.4471009399
263	0.4469325705
264	0.4466826403
265	0.44641784
266	0.4459985674
267	0.4455168351
268	0.4450523482
269	0.4445941383
270	0.4442557729
271	0.4439209715
272	0.4433628124
273	0.4431220788
274	0.4428015122
275	0.4424573237
276	0.4420281028
277	0.4415747107
278	0.441386671
279	0.4410096902
280	0.4407456239
281	0.4404374672
282	0.440116737
283	0.4398575998
284	0.4395903054
285	0.4393867226
286	0.4390225103
287	0.4387305161
288	0.4382572427
289	0.4378838234
290	0.4374014825
291	0.4367929919
292	0.4364978972
293	0.4361086065
294	0.4357375731
295	0.4353885336
296	0.4350946531
297	0.4348729961
298	0.4346320299
299	0.4341825699
300	0.4337913211
301	0.4334588244
302	0.4330978803
303	0.4329154918
304	0.4325151307
305	0.432274312
306	0.4321687554
307	0.4319069698
308	0.431586467
309	0.4314131044
310	0.4309348405
311	0.4304989897
312	0.4301725108
313	0.429834609
314	0.4295735487
315	0.429360809
316	0.4289805938
317	0.4287549952
318	0.4285125752
319	0.4282386844
320	0.4278876487
321	0.4273860709
322	0.4271136595
323	0.4268467407
324	0.4265055123
325	0.4261966139
326	0.4258183542
327	0.4256302439
328	0.4254251873
329	0.4251638251
330	0.424815992
331	0.4244911468
332	0.424283157
333	0.4241449025
334	0.4240499151
335	0.4237244875
336	0.4232378082
337	0.4230088846
338	0.4226364594
339	0.4224126129
340	0.4222099402
341	0.4219408012
342	0.4213555169
343	0.4211355481
344	0.4207281559
345	0.4204074072
346	0.4202717982
347	0.4200029511
348	0.4195651208
349	0.4193937466
350	0.4192171617
351	0.4189563886
352	0.4187474263
353	0.418471332
354	0.4181320421
355	0.4178923363
356	0.417706861
357	0.4174369218
358	0.4171703197
359	0.4169787409
360	0.4166377769
361	0.4163867556
362	0.4160286623
363	0.4158565245
364	0.4152699173
365	0.4150812198
366	0.4147675342
367	0.41442678
368	0.4142834026
369	0.4139406089
370	0.4137141399
371	0.4134283891
372	0.4129921526
373	0.4127329722
374	0.4126103713
375	0.4122244264
376	0.4118890755
377	0.4116554468
378	0.4115685589
379	0.4111771381
380	0.4108567367
381	0.4106158482
382	0.4103849296
383	0.4101904718
384	0.4099093809
385	0.4094729268
386	0.409162478
387	0.40893186
388	0.4086645908
389	0.4084122475
390	0.4081985211
391	0.4079406729
392	0.4075966663
393	0.4073174836
394	0.4070755296
395	0.4069288014
396	0.4065839784
397	0.4062999808
398	0.4059760948
399	0.4057707259
400	0.405417039
401	0.4051837834
402	0.4048756062
403	0.4046691959
404	0.4041932842
405	0.4038795033
406	0.4037138787
407	0.4034463747
408	0.4032184587
409	0.402854322
410	0.4027092859
411	0.4025058802
412	0.4023424566
413	0.4020439127
414	0.4019030134
415	0.4015081328
416	0.4014091672
417	0.4011078533
418	0.400933394
419	0.4008209905
420	0.4005341621
421	0.4004194113
422	0.4000865293
423	0.3997726486
424	0.3995894582
425	0.3993211184
426	0.3990821194
427	0.3988262757
428	0.3986562195
429	0.3984387002
430	0.3982688294
431	0.3980998922
432	0.3977287379
433	0.3975452482
434	0.3972102374
435	0.3970810919
436	0.3967516412
437	0.3964613821
438	0.3963080428
439	0.3960998234
440	0.3958748311
441	0.3957419467
442	0.3955819227
443	0.3954806832
444	0.3952879261
445	0.395083276
446	0.3949174163
447	0.3946490808
448	0.394424399
449	0.3942132541
450	0.3940704858
451	0.3938874666
452	0.3935742804
453	0.3933496424
454	0.3932308373
455	0.3930172469
456	0.3928329825
457	0.3926433454
458	0.3924497843
459	0.3921679992
460	0.3919197073
461	0.3917391066
462	0.3914649711
463	0.3911355889
464	0.3910079023
465	0.3908355669
466	0.3907103811
467	0.3905013179
468	0.3901039625
469	0.3899583133
470	0.3896666572
471	0.3893797105
472	0.3891634058
473	0.3888439005
474	0.3887298549
475	0.3884842503
476	0.3883216084
477	0.3880540623
478	0.3878491316
479	0.3875960836
480	0.3871971892
481	0.38701947
482	0.3868241159
483	0.3866732737
484	0.3865472244
485	0.3863880431
486	0.3862411057
487	0.386063849
488	0.3858317974
489	0.3855448402
490	0.3854143758
491	0.3851884607
492	0.3849728996
493	0.384849664
494	0.3844482231
495	0.3842304891
496	0.3839882763
497	0.3836798422
498	0.383545019
499	0.3834285412
500	0.3831383327
501	0.3828897788
502	0.3827788844
503	0.3825153658
504	0.3822849268
505	0.381998709
506	0.3818136568
507	0.3814932264
508	0.3813161645
509	0.3811775027
510	0.3810024554
511	0.3807537179
512	0.3803845412
513	0.3799588209
514	0.3797859585
515	0.3795486681
516	0.3793507865
517	0.3791567441
518	0.3789481705
519	0.3787355253
520	0.3785716444
521	0.3784874963
522	0.3781619043
523	0.3779525697
524	0.3776214506
525	0.377473147
526	0.3772987041
527	0.3770100047
528	0.3767533353
529	0.376545483
530	0.3763918157
531	0.3762332685
532	0.376037772
533	0.3759191173
534	0.3757534514
535	0.3754652254
536	0.3751821901
537	0.3748809946
538	0.3745852545
539	0.3744225631
540	0.3742422542
541	0.3741070251
542	0.3739769337
543	0.3738758642
544	0.3736886204
545	0.3735627887
546	0.373401629
547	0.3731906049
548	0.3730649007
549	0.3727960969
550	0.3724323155
551	0.3722903896
552	0.3720777771
553	0.3719821179
554	0.3717655065
555	0.371603168
556	0.3714128709
557	0.3712695813
558	0.37101164
559	0.3708624091
560	0.3706183288
561	0.3703705269
562	0.3701695434
563	0.3699010722
564	0.3696764715
565	0.369495771
566	0.3692596126
567	0.3690605069
568	0.3689229349
569	0.3685971805
570	0.3683410518
571	0.3681557635
572	0.3678319613
573	0.3676540486
574	0.3674423787
575	0.3672713114
576	0.366947188
577	0.3668125145
578	0.3665692322
579	0.3664377732
580	0.3662620036
581	0.3660905305
582	0.3659818884
583	0.3657940408
584	0.365643678
585	0.3652411078
586	0.3650638915
587	0.3648793573
588	0.364749307
589	0.3645268516
590	0.3642542737
591	0.3641724685
592	0.3639988201
593	0.3638579311
594	0.3636344394
595	0.3635217012
596	0.363274896
597	0.3629704941
598	0.3627517848
599	0.3626196513
600	0.3623671091
601	0.362131373
602	0.3619645566
603	0.3618412517
604	0.3616892307
605	0.3614801749
